HomeworkID,GraderUserID,GradeeUserID,peerGrade,teacherGrade
5336623475185205271,8508859671690850460,3128859502537381120,10,10
5336623475185205271,2188443836027548276,3128859502537381120,10,10
5336623475185205271,-3202228988690117709,3128859502537381120,8,10
5336623475185205271,-1770950591917327896,8531549379670950120,7,9
5336623475185205271,-7151099785036886404,8531549379670950120,5,9
5336623475185205271,9112074073371447606,8531549379670950120,6,9
5336623475185205271,3128859502537381120,1677181345837178215,2,8
5336623475185205271,-2931917918202738308,1677181345837178215,6,8
5336623475185205271,4403067432437098695,1677181345837178215,2,8
5336623475185205271,-8903653346503445879,8584040963615701990,3,8
5336623475185205271,-7414667177862741677,8584040963615701990,10,8
5336623475185205271,7957718940928628399,8584040963615701990,4,8
5336623475185205271,5851384832217528782,-3405663943561969061,10,5
5336623475185205271,-2118150528648079545,-3405663943561969061,10,5
5336623475185205271,8765171333178515527,-3405663943561969061,8,5
5336623475185205271,-1770950591917327896,1246068367867965814,10,7
5336623475185205271,6626435095097924879,1246068367867965814,10,7
5336623475185205271,9112074073371447606,1246068367867965814,7,7
5336623475185205271,7558821911706803234,-4147505355998749227,10,8
5336623475185205271,7804187407903293121,-4147505355998749227,9,8
5336623475185205271,1677181345837178215,-4147505355998749227,5,8
5336623475185205271,-3405663943561969061,-1059834766168424052,9,9
5336623475185205271,-3705120149491674079,-1059834766168424052,5,9
5336623475185205271,-2811874873923301506,-1059834766168424052,5,9
5336623475185205271,-8690034771130428958,5851384832217528782,10,9
5336623475185205271,8961542332816296631,5851384832217528782,5,9
5336623475185205271,-3789129596940450883,5851384832217528782,4,9
5336623475185205271,-7151099785036886404,-4941690306426791326,3,8
5336623475185205271,-3254818019445751044,-4941690306426791326,8,8
5336623475185205271,9112074073371447606,-4941690306426791326,3,8
5336623475185205271,-8979707708514165400,-6977139561446886963,10,8
5336623475185205271,7804187407903293121,-6977139561446886963,7,8
5336623475185205271,8531549379670950120,-6977139561446886963,3,8
5336623475185205271,31345640720030058,-3202228988690117709,10,5
5336623475185205271,-924224948908466081,-3202228988690117709,5,5
5336623475185205271,1246068367867965814,-3202228988690117709,9,5
5336623475185205271,1544168084388587446,-7414667177862741677,5,10
5336623475185205271,-9143159729705915980,-7414667177862741677,8,10
5336623475185205271,-2841216293154078749,-7414667177862741677,3,10
5336623475185205271,8454821655854231785,-623725770452420240,10,10
5336623475185205271,9001101535846912580,-623725770452420240,4,10
5336623475185205271,-8096786001976695806,-623725770452420240,10,10
5336623475185205271,-7414667177862741677,-2841216293154078749,7,8
5336623475185205271,2188443836027548276,-2841216293154078749,10,8
5336623475185205271,7957718940928628399,-2841216293154078749,10,8
5336623475185205271,1544168084388587446,-2668592948788481871,10,9
5336623475185205271,-9143159729705915980,-2668592948788481871,8,9
5336623475185205271,-8690034771130428958,-2668592948788481871,10,9
5336623475185205271,6626435095097924879,-8690034771130428958,4,10
5336623475185205271,9001101535846912580,-8690034771130428958,7,10
5336623475185205271,-8096786001976695806,-8690034771130428958,10,10
5336623475185205271,-1770950591917327896,-3254818019445751044,6,10
5336623475185205271,6626435095097924879,-3254818019445751044,4,10
5336623475185205271,9001101535846912580,-3254818019445751044,9,10
5336623475185205271,8454821655854231785,-1770950591917327896,5,8
5336623475185205271,-8096786001976695806,-1770950591917327896,8,8
5336623475185205271,-2034334162515319395,-1770950591917327896,10,8
5336623475185205271,-4941690306426791326,-8096786001976695806,5,10
5336623475185205271,1701997663088573285,-8096786001976695806,8,10
5336623475185205271,4259138854288581516,-8096786001976695806,10,10
5336623475185205271,31345640720030058,4403067432437098695,9,10
5336623475185205271,-3405663943561969061,4403067432437098695,10,10
5336623475185205271,-3705120149491674079,4403067432437098695,10,10
5336623475185205271,8508859671690850460,5431928239718994990,10,6
5336623475185205271,-3202228988690117709,5431928239718994990,10,6
5336623475185205271,1486407689625231778,5431928239718994990,10,6
5336623475185205271,2285806763620859894,7804187407903293121,10,9
5336623475185205271,-4941690306426791326,7804187407903293121,10,9
5336623475185205271,-8995800303614001136,7804187407903293121,10,9
5336623475185205271,1544168084388587446,-1171332095900047310,10,10
5336623475185205271,-2841216293154078749,-1171332095900047310,9,10
